ticker,weight_pct,amount_usd,latest_price,shares_approx
ABBV,10.0,10000.0,143.6382598876953,69.62
AFL,10.0,10000.0,66.97635650634766,149.31
ACN,10.0,10000.0,254.87225341796875,39.24
AOS,10.0,10000.0,53.929569244384766,185.43
A,10.0,10000.0,146.36846923828125,68.32
ABT,10.0,10000.0,103.04631042480469,97.04
AES,10.0,10000.0,24.90584945678711,401.51
MMM,10.0,10000.0,89.28984069824219,111.99
ADBE,10.0,10000.0,336.5299987792969,29.72
AMD,10.0,10000.0,64.7699966430664,154.39
