Date,strategy_nav,baseline_nav
2023-02-02,1.0068497573118562,1.0107135246019623
2023-02-03,0.9939376607174892,0.9992284882102628
2023-02-06,0.9829940020989403,0.9924509555825138
2023-02-07,0.9920608934159264,1.001182067127212
2023-02-08,0.9838845252790483,0.9929127613867953
2023-02-09,0.975323436890305,0.9844572755677815
2023-02-10,0.9776576935797939,0.9877265872192464
2023-02-13,0.9914459439329903,0.9978692745039643
2023-02-14,0.9875723511830851,0.9971002645373601
2023-02-15,0.9882646381395573,1.0045639824707038
2023-02-16,0.9699781236664006,0.9934298009071715
2023-02-17,0.9661554295149618,0.9911816689547616
2023-02-21,0.9434007813116042,0.9707529029264964
2023-02-22,0.9404407773571641,0.9697055680133109
2023-02-23,0.9458491164153556,0.973514295553467
2023-02-24,0.9304334084713075,0.9650960140795577
2023-02-27,0.9315554827648013,0.9664460046385818
2023-02-28,0.9321386429244237,0.9637372870530945
2023-03-01,0.9315547223883418,0.9614276855284501
2023-03-02,0.9417894258395614,0.9693546267432461
2023-03-03,0.9564592030773468,0.9822783951500565
2023-03-06,0.9509595087261321,0.978840522233684
2023-03-07,0.9369582723903546,0.9641305817285118
2023-03-08,0.9389919171636115,0.966363731430505
2023-03-09,0.9256119127316367,0.9471711204482901
2023-03-10,0.909520409172109,0.9274967992907241
2023-03-13,0.9049863168031015,0.9209264070793332
2023-03-14,0.920906276688438,0.9341366057763945
2023-03-15,0.9130250068014523,0.9214576571435902
2023-03-16,0.9366133702270988,0.9348122078789289
2023-03-17,0.9240071100089604,0.920078164083139
2023-03-20,0.9348649012850995,0.9319744802771531
2023-03-21,0.9452693187463107,0.9447162133106831
2023-03-22,0.9281548037524089,0.9247776700010566
2023-03-23,0.9359031525490534,0.9219472631271871
2023-03-24,0.940917389337914,0.9285850533739552
2023-03-27,0.9442875260275686,0.9342509615169973
2023-03-28,0.9445772345180212,0.9356359533015569
2023-03-29,0.9571294503620466,0.9496189404285853
2023-03-30,0.9600416899864518,0.9544272397899108
2023-03-31,0.9742179976812281,0.9690008095607727
2023-04-03,0.9704654696679879,0.9696671343132607
2023-04-04,0.9645461141917863,0.9599712701278309
2023-04-05,0.9609791610724356,0.9571617544907284
2023-04-06,0.9623699692720851,0.957785352242531
2023-04-10,0.9681163565546654,0.964487216622674
2023-04-11,0.9716308683206769,0.9702425498415522
2023-04-12,0.9696030894682125,0.9660202024898086
2023-04-13,0.9803115592055459,0.9736640402043039
2023-04-14,0.9742996770380759,0.969747674888613
2023-04-17,0.97318975458936,0.9759945048541263
2023-04-18,0.9726195101774635,0.9773113028479793
2023-04-19,0.9812522688128514,0.9761134103956969
2023-04-20,0.9730177198333695,0.9708042170912274
2023-04-21,0.9740867794773777,0.9705512174641541
2023-04-24,0.9748030230119137,0.971942520518114
2023-04-25,0.9579372780525276,0.9555984132282588
2023-04-26,0.9513988064654207,0.9472250649085997
2023-04-27,0.9620772387905182,0.9628812202817371
2023-04-28,0.9733746007354337,0.9726594087140485
2023-05-01,0.9761927594148483,0.9725429786656816
2023-05-02,0.9640651103444791,0.9590782719320649
